Country,Sex-disaggregated?,Date,Cases,Cases (% male),Cases (% female),Deaths,deaths (% male),deaths (% female),Deaths among confirmed cases (male),Deaths in confirmed cases (female),Deaths in confirmed cases (Male:female ratio),Sources
Bulgaria,Partial,25.05.2020,"2,443",49,51,,,,,,,Source
Wales,Partial,24.05.2020,"13,525",36,64,,,,,,,Source
Dijbouti,Partial,07.04.2020,90,57,43,,,,,,,Source
DRC,No,,,,,,,,,,,Source
Gabon,No,,,,,,,,,,,Source
El Salvidor,Partial,25.05.2020,"2,042",66,34,,,,,,,Source
Somalia,Partial,26.05.2020,"1,711",71,29,,,,,,,Source
Lithuania,No,,,,,,,,,,,Source
Slovakia,Partial,20.05.2020,"1,472",50,50,,,,,,,Source
Kenya,Partial,19.05.2020,963,62,38,,,,,,,Source
Sri Lanka,No,,,,,,,,,,,Source
Guinea-Bissau,No,,,,,,,,,,,
Venezuela,Partial,26.05.2020,"1,211",54,46,,,,,,,Source
Tajikistan,No,,,,,,,,,,,
Guatemala,Partial,26.05.2020,"3,954",60,40,,,,,,,Source
