ISO-3 Code,Country name,ODW Region Code,ODW Region Name,OECD Member,UN M49 Code,UN M49 Region Code,World Bank  Income Code (June 2019),World Bank Lending Code  (June 2019),World Bank Income Group Name,World Bank (All income) region code,World Bank (All Income) Region Names,World Bank (Developing only) Region Code,World Bank (Developing Only) Region Name,See notes,,
CAF,Central African Republic,AFM,Middle Africa,,140,017,LIC,IDA,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
TCD,Chad,AFM,Middle Africa,,148,017,LIC,IDA,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
CHI,Channel Islands,EUN,Northern Europe,,830,154,HIC,..,High income,ECS,Europe & Central Asia,..,,,,
CHL,Chile,AMZ,South America,OECD,152,005,HIC,IBRD,High income,LCN,Latin America & Caribbean,..,,,,
CHN,China,ASF,Eastern Asia,,156,030,UMC,IBRD,Upper middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
COL,Colombia,AMZ,South America,,170,005,UMC,IBRD,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
COM,Comoros,AFE,Eastern Africa,,174,014,LMC,IDA,Lower middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
COD,"Congo, Dem. Rep.",AFM,Middle Africa,,180,017,LIC,IDA,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),1/,,
COG,"Congo, Rep.",AFM,Middle Africa,,178,017,LMC,Blend,Lower middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
COK,Cook Islands,OPY,Polynesia,,184,061,,,,,,,,,,
CRI,Costa Rica,AMM,Central America,,188,013,UMC,IBRD,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
CIV,Cote d'Ivoire ,AFW,Western Africa,,384,011,LMC,IDA,Lower middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
HRV,Croatia,EUZ,Southern Europe,,191,039,HIC,IBRD,High income,ECS,Europe & Central Asia,..,,,,
CUB,Cuba,AMC,Caribbean,,192,029,UMC,..,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
CUW,Curaçao,AMC,Caribbean,,531,029,HIC,..,High income,LCN,Latin America & Caribbean,..,,,,
CYP,Cyprus,ASW,Western Asia,,196,145,HIC,..,High income,ECS,Europe & Central Asia,..,,,,
CZE,Czech Republic,EUE,Eastern Europe,OECD,203,151,HIC,..,High income,ECS,Europe & Central Asia,..,,,,
DNK,Denmark,EUN,Northern Europe,OECD,208,154,HIC,..,High income,ECS,Europe & Central Asia,..,,,,
DJI,Djibouti,AFE,Eastern Africa,,262,014,LMC,IDA,Lower middle income,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),,,
DMA,Dominica,AMC,Caribbean,,212,029,UMC,Blend,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
DOM,Dominican Republic,AMC,Caribbean,,214,029,UMC,IBRD,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
ECU,Ecuador,AMZ,South America,,218,005,UMC,IBRD,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
EGY,Egypt,AFN,Northern Africa,,818,015,LMC,IBRD,Lower middle income,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),,,
SLV,El Salvador,AMM,Central America,,222,013,LMC,IBRD,Lower middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
GNQ,Equatorial Guinea,AFM,Middle Africa,,226,017,UMC,IBRD,Upper middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
ERI,Eritrea,AFE,Eastern Africa,,232,014,LIC,IDA,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
EST,Estonia,EUN,Northern Europe,OECD,233,154,HIC,..,High income,ECS,Europe & Central Asia,..,,,,
SWZ,Eswatini,AFZ,Southern Africa,,748,018,LMC,IBRD,Lower middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),5/,,
ETH,Ethiopia,AFE,Eastern Africa,,231,014,LIC,IDA,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
FRO,Faeroe Islands,EUN,Northern Europe,,234,154,HIC,..,High income,ECS,Europe & Central Asia,..,,,,
FLK,Falkland Islands ,AMZ,South America,,238,005,,,,,,,,,,
FRO,Faroe Islands,EUN,Northern Europe,,234,154,HIC,..,High income,,,,,,,
FJI,Fiji,OME,Melanesia,,242,054,UMC,Blend,Upper middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
FIN,Finland,EUN,Northern Europe,OECD,246,154,HIC,..,High income,ECS,Europe & Central Asia,..,,,,
YUG,Former Yugoslavia,EUZ,Southern Europe,,,,,,,,,,,,,
FRA,France,EUW,Western Europe,OECD,250,155,HIC,..,High income,ECS,Europe & Central Asia,..,,,,
GUF,French Guiana,AMZ,South America,,254,005,,,,,,,,,,
PYF,French Polynesia,OPY,Polynesia,,258,061,HIC,..,High income,EAS,East Asia & Pacific,..,,,,
GAB,Gabon,AFM,Middle Africa,,266,017,UMC,IBRD,Upper middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
GMB,Gambia,AFW,Western Africa,,270,011,LIC,IDA,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
GEO,Georgia,ASW,Western Asia,,268,145,UMC,IBRD,Upper middle income,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),,,
