Country,Sex-disaggregated?,Date,Total cases,Cases (% male),Cases (% female),Total deaths,deaths (% male),deaths (% female),Proportion of deaths in confirmed cases (total),Proportion of deaths in confirmed cases (male),Proportion of deaths in confirmed cases (female),Proportion of deaths in confirmed cases (Male:female ratio),Sources
Costa Rica,Yes,08.06.2020,"1,342",53,47,9,90,10,0.8,1.3,0.2,7.9,Source
Haiti,Yes,07.06.2020,"3,662",60,41,45,80,20,1.5,2.1,0.8,2.8,Source
Thailand,Yes,08.06.2020,"3,119",55,45,58,76,24,1.9,2.6,1,2.6,Source
North Macedonia,Yes,09.06.2020,"3,152",49,51,156,67,32,5,7.1,3.1,2.3,Source
The Netherlands,Yes,09.06.2020,"47,811",37,63,"6,031",55,45,12.6,18.7,9,2.1,Source
Albania,Yes,08.06.2020,"1,299",48,52,22,65,35,2.6,3.5,1.8,2,Source
Greece,Yes,09.06.2020,"2,856",55,45,183,69,31,6.4,8.1,4.4,1.9,Source
Dominican Republic,Yes,07.06.2020,"20,126",54,46,539,70,30,2.7,3.4,1.8,1.9,Source
Belgium,Yes,09.06.2020,"59,110",37,63,"6,852",51,49,11.6,15.9,9.1,1.8,Source
Denmark,Yes,10.06.2020,"11,962",42,58,593,56,44,5,6.6,3.7,1.8,Source
Romania,Yes,07.06.2020,"20,578",44,56,"1,333",59,41,6.5,8.6,4.8,1.8,Source
Spain,Yes,21.05.2020,"248,335",43,57,"20,527",57,43,8.3,10.9,6.3,1.8,Source
Sweden,Yes,09.06.2020,"45,924",40,60,"4,717",55,45,10.3,14.1,7.7,1.8,Source
Northern Ireland,Yes,09.06.2020,"4,796",38,62,536,52,48,11.2,15.3,8.7,1.8,Source
Bosnia and Herzegovina,Yes,13.05.2020,994,45,55,37,59,40,3.7,4.9,2.8,1.8,Source
England,Yes,03.06.2020,"214,191",43,57,"35,430",57,42,16.5,22.1,12.3,1.8,Source
China,Yes,28.02.2020,"55,924",51,49,"2,114",64,36,3.8,4.7,2.8,1.7,Source
Italy,Yes,03.06.2020,"234,086",46,54,"32,354",59,41,13.8,17.7,10.5,1.7,Source
Peru,Yes,08.06.2020,"199,696",59,41,"5,571",71,29,2.8,3.3,2,1.7,Source
Ecuador,Yes,29.05.2020,"29,615",56,44,"3,334",66,34,11.3,13.5,8.5,1.6,Source
South Korea,Yes,09.06.2020,"11,852",42,58,274,53,47,2.3,2.9,1.9,1.6,Source
Switzerland,Yes,09.06.2020,"30,963",46,54,"1,663",58,42,5.4,6.8,4.2,1.6,Source
Mexico,Yes,08.06.2020,"120,102",56,44,"14,053",66,34,11.7,13.9,8.9,1.6,Source
