country,sex_age
Australia,Yes
Czech Republic,Yes
Denmark,Yes
England,Yes
France,Partial
Greece,Yes
Germany,Yes
Israel,Yes
Italy,Yes
Mexico,Yes
Norway,Yes
Pakistan,Yes
Peru,Yes
Philippines,Yes
Poland,Partial
Portugal,Yes
Scotland,Yes
Spain,Yes
Switzerland,Yes
USA,Partial
