country,sex_age
Australia,Yes
Czech Republic,Yes
Denmark,Yes
England,Yes
France,Deaths only
Greece,Yes
Germany,Yes
Israel,Yes
Italy,Yes
Mexico,Yes
Norway,Yes
Pakistan,Yes
Peru,Yes
Philippines,Yes
Poland,Deaths only
Portugal,Yes
Scotland,Yes
Spain,Yes
Switzerland,Yes
USA,Deaths only
