country,sex_age
Australia,Yes
Czech Republic,Yes
Denmark,Yes
England,Yes
France,Deaths only
Greece,Yes
Germany,Yes
Hungary,Deaths only
Israel,Yes
Italy,Yes
Kenya,Yes
Mexico,Yes
Netherlands,Deaths only
Norway,Yes
Pakistan,Yes
Peru,Yes
Philippines,Yes
Poland,Deaths only
Portugal,Yes
Scotland,Yes
Slovenia,Yes
Spain,Yes
Switzerland,Yes
USA,Deaths only
