incgroup,total_ghcases,total_cases,share_cases,total_ghdeaths,total_deaths,share_deaths
Low income,60998,92743,0.6577100158502528,1058,1993,0.5308580030105369
Lower middle income,528768,1148620,0.4603506816875903,25380,31950,0.7943661971830986
Upper middle income,1197176,3340563,0.3583755193361119,115056,132658,0.8673129400413092
High income,2103011,4817031,0.436578257436998,306541,315814,0.9706377804657171
Not classified,0,642,0,0,46,0
Total,3889953,9399599,0.413842441576497,448035,482461,0.9286450096484483
